,subj,Q_A,Q_E,Q_I,Q_O,condition,radio_A,radio_E,radio_I,radio_O,rt,trial_domain,trial_index,trial_syll,trial_type,domain,syll
59,s14,69,62,70,61,radio,0,1,0,1,40740,['strawberries'],3,['AA1'],survey-slider,strawberries,AA1
60,s15,98,98,98,95,radio,0,1,0,0,59647,['crackers'],0,['EA1'],survey-slider,crackers,EA1
61,s15,98,100,99,96,radio,1,0,1,0,42742,['knives'],1,['AA1'],survey-slider,knives,AA1
62,s15,96,96,98,98,radio,0,0,1,1,47715,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
63,s15,97,96,100,100,radio,0,0,1,1,44438,['strawberries'],3,['EI1'],survey-slider,strawberries,EI1
64,s16,100,100,100,54,radio,1,0,1,0,124513,['lightbulbs'],0,['AA1'],survey-slider,lightbulbs,AA1
65,s16,72,100,100,100,radio,0,0,1,1,80618,['knives'],1,['EI1'],survey-slider,knives,EI1
66,s16,100,100,71,100,radio,0,1,0,1,41157,['strawberries'],2,['EA1'],survey-slider,strawberries,EA1
67,s16,100,100,100,100,radio,0,0,1,1,42508,['crackers'],3,['AI1'],survey-slider,crackers,AI1
68,s17,100,100,100,100,radio,0,0,1,1,77296,['lightbulbs'],0,['EI1'],survey-slider,lightbulbs,EI1
69,s17,100,93,100,100,radio,0,1,0,1,71072,['crackers'],1,['EA1'],survey-slider,crackers,EA1
70,s17,98,97,97,100,radio,1,0,1,0,113825,['knives'],2,['AI1'],survey-slider,knives,AI1
71,s17,96,96,97,100,radio,1,0,1,0,48794,['strawberries'],3,['AA1'],survey-slider,strawberries,AA1
72,s18,74,100,100,69,radio,0,0,1,0,106239,['crackers'],0,['AI1'],survey-slider,crackers,AI1
73,s18,83,84,84,80,radio,0,1,0,1,147067,['lightbulbs'],1,['EA1'],survey-slider,lightbulbs,EA1
74,s18,97,73,75,100,radio,0,0,0,1,63643,['knives'],2,['EI1'],survey-slider,knives,EI1
75,s18,96,100,97,88,radio,1,0,1,0,104631,['strawberries'],3,['AA1'],survey-slider,strawberries,AA1
76,s19,76,94,91,93,radio,1,0,0,0,117857,['knives'],0,['AI1'],survey-slider,knives,AI1
77,s19,7,6,6,9,radio,0,0,1,0,83897,['crackers'],1,['EI1'],survey-slider,crackers,EI1
78,s19,10,5,9,11,radio,1,0,0,1,52162,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
79,s19,6,100,7,9,radio,0,1,0,0,51618,['strawberries'],3,['AA1'],survey-slider,strawberries,AA1
80,s20,96,97,96,94,radio,0,0,1,0,138250,['lightbulbs'],0,['AI1'],survey-slider,lightbulbs,AI1
81,s20,94,93,97,97,radio,0,1,0,1,92671,['crackers'],1,['EA1'],survey-slider,crackers,EA1
82,s20,64,60,62,57,radio,1,0,1,0,218855,['strawberries'],2,['AA1'],survey-slider,strawberries,AA1
83,s20,89,65,74,72,radio,0,0,1,1,66260,['knives'],3,['EI1'],survey-slider,knives,EI1
84,s21,98,96,91,97,radio,1,0,0,0,101376,['knives'],0,['AA1'],survey-slider,knives,AA1
85,s21,93,97,96,93,radio,0,0,1,1,65871,['strawberries'],1,['AI1'],survey-slider,strawberries,AI1
86,s21,96,98,98,96,radio,0,0,0,1,91456,['crackers'],2,['EI1'],survey-slider,crackers,EI1
87,s21,94,96,98,96,radio,0,1,0,0,82701,['lightbulbs'],3,['EA1'],survey-slider,lightbulbs,EA1
88,s22,100,100,68,100,radio,1,0,1,0,44331,['lightbulbs'],0,['AI1'],survey-slider,lightbulbs,AI1
89,s22,100,90,100,100,radio,0,0,1,1,64172,['knives'],1,['EI1'],survey-slider,knives,EI1
90,s22,100,100,100,100,radio,1,0,1,0,27061,['crackers'],2,['AA1'],survey-slider,crackers,AA1
91,s22,100,100,100,100,radio,0,0,0,1,24820,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
92,s23,97,90,59,94,radio,0,0,1,1,104355,['knives'],0,['EI1'],survey-slider,knives,EI1
93,s23,98,97,99,42,radio,0,1,0,1,74511,['strawberries'],1,['EA1'],survey-slider,strawberries,EA1
94,s23,97,97,55,96,radio,1,0,1,0,56107,['lightbulbs'],2,['AA1'],survey-slider,lightbulbs,AA1
95,s23,99,96,97,57,radio,0,0,1,1,74298,['crackers'],3,['AI1'],survey-slider,crackers,AI1
96,s24,95,94,94,91,radio,0,1,0,1,267864,['lightbulbs'],0,['EA1'],survey-slider,lightbulbs,EA1
97,s24,97,59,96,97,radio,0,0,0,1,130726,['strawberries'],1,['EI1'],survey-slider,strawberries,EI1
98,s24,96,99,99,93,radio,1,0,0,0,95630,['crackers'],2,['AA1'],survey-slider,crackers,AA1
99,s24,98,98,95,97,radio,0,0,1,1,112750,['knives'],3,['AI1'],survey-slider,knives,AI1
100,s25,100,66,73,100,radio,0,0,0,1,104696,['crackers'],0,['EI1'],survey-slider,crackers,EI1
101,s25,97,100,100,98,radio,1,0,1,0,64691,['knives'],1,['AA1'],survey-slider,knives,AA1
102,s25,97,91,99,99,radio,0,1,0,1,68537,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
103,s25,100,100,100,72,radio,0,0,1,0,74759,['strawberries'],3,['AI1'],survey-slider,strawberries,AI1
104,s26,91,100,68,91,radio,0,0,1,1,110207,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
105,s26,97,94,94,96,radio,1,0,1,0,44200,['knives'],1,['AA1'],survey-slider,knives,AA1
106,s26,91,92,94,100,radio,0,1,0,1,177642,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
107,s26,93,95,96,97,radio,0,1,0,1,85051,['crackers'],3,['EI1'],survey-slider,crackers,EI1
108,s27,93,95,100,59,radio,0,1,0,0,83059,['knives'],0,['EA1'],survey-slider,knives,EA1
109,s27,93,96,99,95,radio,1,0,1,0,51458,['strawberries'],1,['AA1'],survey-slider,strawberries,AA1
110,s27,94,98,63,99,radio,0,0,1,1,42042,['lightbulbs'],2,['EI1'],survey-slider,lightbulbs,EI1
111,s27,97,94,97,97,radio,0,0,1,1,37302,['crackers'],3,['AI1'],survey-slider,crackers,AI1
112,s28,70,96,65,50,radio,1,0,1,1,132564,['knives'],0,['AI1'],survey-slider,knives,AI1
113,s28,90,82,79,85,radio,0,1,0,1,50076,['strawberries'],1,['EI1'],survey-slider,strawberries,EI1
114,s28,93,86,82,84,radio,1,0,1,0,47961,['crackers'],2,['AA1'],survey-slider,crackers,AA1
115,s28,5,87,50,55,radio,0,1,1,1,58981,['lightbulbs'],3,['EA1'],survey-slider,lightbulbs,EA1
116,s29,100,100,55,100,radio,1,0,1,0,83262,['knives'],0,['EI1'],survey-slider,knives,EI1
117,s29,99,100,100,100,radio,0,1,0,0,30220,['strawberries'],1,['EA1'],survey-slider,strawberries,EA1
118,s29,99,95,99,95,radio,1,0,0,0,103986,['crackers'],2,['AA1'],survey-slider,crackers,AA1
119,s29,67,94,61,61,radio,0,0,1,1,94450,['lightbulbs'],3,['AI1'],survey-slider,lightbulbs,AI1
120,s30,95,89,98,92,radio,0,0,1,0,229947,['lightbulbs'],0,['AI1'],survey-slider,lightbulbs,AI1
121,s30,97,94,95,95,radio,0,0,0,1,125769,['strawberries'],1,['EI1'],survey-slider,strawberries,EI1
122,s30,95,95,97,93,radio,0,1,0,1,119121,['crackers'],2,['EA1'],survey-slider,crackers,EA1
123,s30,97,94,97,94,radio,1,0,1,0,82993,['knives'],3,['AA1'],survey-slider,knives,AA1
124,s31,97,98,94,94,radio,0,0,0,1,81759,['crackers'],0,['EI1'],survey-slider,crackers,EI1
125,s31,97,97,99,99,radio,0,1,0,0,51909,['strawberries'],1,['EA1'],survey-slider,strawberries,EA1
126,s31,96,96,96,96,radio,0,0,1,1,60651,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
127,s31,100,98,96,99,radio,1,0,0,0,53235,['knives'],3,['AA1'],survey-slider,knives,AA1
128,s32,100,100,100,100,radio,0,0,0,1,68173,['knives'],0,['EI1'],survey-slider,knives,EI1
129,s32,100,100,100,100,radio,0,0,1,1,139816,['lightbulbs'],1,['AI1'],survey-slider,lightbulbs,AI1
130,s32,100,100,100,100,radio,0,1,0,1,223512,['crackers'],2,['EA1'],survey-slider,crackers,EA1
131,s32,100,100,100,100,radio,1,0,1,0,36193,['strawberries'],3,['AA1'],survey-slider,strawberries,AA1
132,s33,97,98,98,99,radio,1,0,1,0,45478,['crackers'],0,['AA1'],survey-slider,crackers,AA1
133,s33,97,81,97,99,radio,0,0,1,1,77736,['knives'],1,['EI1'],survey-slider,knives,EI1
134,s33,100,99,98,98,radio,0,0,1,1,45523,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
135,s33,100,99,98,77,radio,0,1,0,1,33079,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
136,s34,93,91,98,95,radio,0,1,0,1,81433,['knives'],0,['EA1'],survey-slider,knives,EA1
137,s34,93,97,92,96,radio,1,0,1,0,48375,['strawberries'],1,['AA1'],survey-slider,strawberries,AA1
138,s34,92,93,98,93,radio,0,1,0,1,74044,['crackers'],2,['EI1'],survey-slider,crackers,EI1
139,s34,96,93,96,96,radio,0,0,1,1,50204,['lightbulbs'],3,['AI1'],survey-slider,lightbulbs,AI1
140,s35,94,97,100,96,radio,1,0,0,0,212854,['knives'],0,['AA1'],survey-slider,knives,AA1
141,s35,5,100,97,9,radio,0,0,1,0,190056,['lightbulbs'],1,['AI1'],survey-slider,lightbulbs,AI1
142,s35,100,4,6,98,radio,0,0,0,1,138688,['crackers'],2,['EI1'],survey-slider,crackers,EI1
143,s35,94,95,98,100,radio,0,1,0,0,71884,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
144,s36,100,97,99,99,radio,0,0,1,0,111025,['knives'],0,['AI1'],survey-slider,knives,AI1
145,s36,99,99,99,98,radio,0,1,0,0,98110,['strawberries'],1,['EA1'],survey-slider,strawberries,EA1
146,s36,99,99,99,99,radio,0,1,0,1,89038,['crackers'],2,['EI1'],survey-slider,crackers,EI1
147,s36,98,99,98,99,radio,1,0,0,0,74611,['lightbulbs'],3,['AA1'],survey-slider,lightbulbs,AA1
148,s37,100,70,100,96,radio,0,0,0,1,90460,['crackers'],0,['AA1'],survey-slider,crackers,AA1
149,s37,100,97,97,100,radio,0,0,1,1,56520,['lightbulbs'],1,['AI1'],survey-slider,lightbulbs,AI1
150,s37,55,97,99,11,radio,0,1,0,0,76135,['knives'],2,['EA1'],survey-slider,knives,EA1
151,s37,100,96,100,48,radio,0,1,0,1,55279,['strawberries'],3,['EI1'],survey-slider,strawberries,EI1
152,s38,89,99,98,28,radio,1,1,1,0,35991,['knives'],0,['AA1'],survey-slider,knives,AA1
153,s38,91,92,91,31,radio,1,1,1,0,37042,['lightbulbs'],1,['AI1'],survey-slider,lightbulbs,AI1
154,s38,30,86,31,93,radio,0,1,0,1,25873,['strawberries'],2,['EA1'],survey-slider,strawberries,EA1
155,s38,18,98,34,91,radio,0,1,0,1,25577,['crackers'],3,['EI1'],survey-slider,crackers,EI1
156,s39,94,98,97,95,radio,1,0,0,0,68841,['strawberries'],0,['AA1'],survey-slider,strawberries,AA1
157,s39,97,95,94,94,radio,0,0,0,1,67342,['knives'],1,['EA1'],survey-slider,knives,EA1
158,s39,98,96,93,97,radio,0,0,1,0,29492,['crackers'],2,['AI1'],survey-slider,crackers,AI1
159,s39,97,99,97,95,radio,0,1,0,0,25166,['lightbulbs'],3,['EI1'],survey-slider,lightbulbs,EI1
160,s40,58,55,55,57,radio,1,0,1,0,89626,['knives'],0,['AA1'],survey-slider,knives,AA1
161,s40,49,54,55,51,radio,0,0,1,1,69687,['strawberries'],1,['AI1'],survey-slider,strawberries,AI1
162,s40,53,53,49,51,radio,0,1,0,1,84914,['crackers'],2,['EA1'],survey-slider,crackers,EA1
163,s40,54,56,59,43,radio,0,1,0,1,83182,['lightbulbs'],3,['EI1'],survey-slider,lightbulbs,EI1
164,s41,97,100,53,100,radio,1,0,0,0,384911,['strawberries'],0,['AA1'],survey-slider,strawberries,AA1
165,s41,100,100,63,100,radio,0,0,0,1,110134,['crackers'],1,['EI1'],survey-slider,crackers,EI1
166,s41,100,100,48,52,radio,0,1,0,1,92153,['knives'],2,['EA1'],survey-slider,knives,EA1
167,s41,63,100,100,50,radio,0,0,1,0,75601,['lightbulbs'],3,['AI1'],survey-slider,lightbulbs,AI1
168,s42,19,90,43,55,radio,0,1,0,1,73138,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
169,s42,92,67,84,89,radio,1,0,1,1,39174,['knives'],1,['EA1'],survey-slider,knives,EA1
170,s42,17,38,25,93,radio,0,1,0,1,40403,['crackers'],2,['AA1'],survey-slider,crackers,AA1
171,s42,90,76,90,56,radio,1,0,1,0,37683,['lightbulbs'],3,['EI1'],survey-slider,lightbulbs,EI1
172,s43,76,97,99,97,radio,1,1,0,0,35489,['knives'],0,['AA1'],survey-slider,knives,AA1
173,s43,52,77,6,8,radio,1,1,0,0,43672,['lightbulbs'],1,['EA1'],survey-slider,lightbulbs,EA1
174,s43,93,96,74,95,radio,0,0,1,1,32269,['crackers'],2,['AI1'],survey-slider,crackers,AI1
175,s43,95,93,98,99,radio,0,1,0,0,36525,['strawberries'],3,['EI1'],survey-slider,strawberries,EI1
176,s44,99,99,96,99,radio,1,0,1,0,125783,['lightbulbs'],0,['AA1'],survey-slider,lightbulbs,AA1
177,s44,97,99,99,98,radio,0,0,1,1,61207,['knives'],1,['EI1'],survey-slider,knives,EI1
178,s44,98,98,99,98,radio,0,0,1,1,56265,['crackers'],2,['AI1'],survey-slider,crackers,AI1
179,s44,99,99,100,99,radio,0,1,0,1,69312,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
180,s45,44,52,94,69,radio,1,1,1,0,64595,['crackers'],0,['AA1'],survey-slider,crackers,AA1
181,s45,96,53,98,96,radio,1,0,1,1,32390,['lightbulbs'],1,['AI1'],survey-slider,lightbulbs,AI1
182,s45,96,96,96,97,radio,1,0,1,1,30557,['knives'],2,['EI1'],survey-slider,knives,EI1
183,s45,97,97,97,96,radio,0,0,1,1,69697,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
184,s46,100,100,100,100,radio,0,0,1,1,61108,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
185,s46,100,100,100,100,radio,0,1,0,0,48693,['lightbulbs'],1,['EA1'],survey-slider,lightbulbs,EA1
186,s46,100,100,100,100,radio,0,0,1,1,72995,['crackers'],2,['EI1'],survey-slider,crackers,EI1
187,s46,100,100,100,100,radio,1,0,0,0,28501,['knives'],3,['AA1'],survey-slider,knives,AA1
188,s47,70,60,68,59,radio,0,1,1,0,307424,['strawberries'],0,['AA1'],survey-slider,strawberries,AA1
189,s47,97,61,50,77,radio,1,0,1,1,59039,['knives'],1,['EA1'],survey-slider,knives,EA1
190,s47,92,82,34,80,radio,1,0,1,0,202771,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
191,s47,84,88,41,88,radio,0,0,1,1,96961,['crackers'],3,['EI1'],survey-slider,crackers,EI1
192,s48,41,5,100,100,radio,0,0,0,1,97374,['knives'],0,['EA1'],survey-slider,knives,EA1
193,s48,98,100,100,100,radio,1,0,0,0,36350,['lightbulbs'],1,['AA1'],survey-slider,lightbulbs,AA1
194,s48,62,100,68,100,radio,0,0,1,1,71109,['strawberries'],2,['AI1'],survey-slider,strawberries,AI1
195,s48,100,50,100,100,radio,0,0,0,1,72103,['crackers'],3,['EI1'],survey-slider,crackers,EI1
196,s49,97,96,96,94,radio,0,0,0,1,89863,['knives'],0,['EI1'],survey-slider,knives,EI1
197,s49,97,97,99,97,radio,1,0,0,0,43043,['crackers'],1,['AA1'],survey-slider,crackers,AA1
198,s49,95,97,97,95,radio,0,0,1,1,77084,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
199,s49,95,93,98,93,radio,0,1,0,0,38964,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
200,s50,95,49,49,100,radio,0,1,0,1,102094,['strawberries'],0,['EI1'],survey-slider,strawberries,EI1
201,s50,43,90,99,97,radio,0,0,1,1,54504,['knives'],1,['AI1'],survey-slider,knives,AI1
202,s50,90,92,57,95,radio,0,0,1,1,74102,['lightbulbs'],2,['AA1'],survey-slider,lightbulbs,AA1
203,s50,93,93,90,92,radio,0,1,0,0,68074,['crackers'],3,['EA1'],survey-slider,crackers,EA1
204,s51,4,5,5,4,radio,1,0,0,0,142128,['strawberries'],0,['AA1'],survey-slider,strawberries,AA1
205,s51,100,95,100,84,radio,0,1,0,1,585083,['crackers'],1,['EA1'],survey-slider,crackers,EA1
206,s51,67,67,73,64,radio,0,1,1,0,205297,['knives'],2,['AI1'],survey-slider,knives,AI1
207,s51,93,94,97,97,radio,0,0,1,1,109909,['lightbulbs'],3,['EI1'],survey-slider,lightbulbs,EI1
208,s52,73,81,68,85,radio,1,0,1,0,37890,['knives'],0,['AA1'],survey-slider,knives,AA1
209,s52,81,89,67,76,radio,1,0,1,1,51920,['strawberries'],1,['AI1'],survey-slider,strawberries,AI1
210,s52,31,56,37,37,radio,0,0,1,0,73560,['lightbulbs'],2,['EI1'],survey-slider,lightbulbs,EI1
211,s52,44,37,83,55,radio,1,1,0,1,13742,['crackers'],3,['EA1'],survey-slider,crackers,EA1
212,s53,100,99,97,99,radio,1,0,1,0,74050,['crackers'],0,['AA1'],survey-slider,crackers,AA1
213,s53,98,97,98,100,radio,0,1,0,1,42875,['strawberries'],1,['EA1'],survey-slider,strawberries,EA1
214,s53,97,55,53,49,radio,0,0,1,1,67011,['lightbulbs'],2,['AI1'],survey-slider,lightbulbs,AI1
215,s53,96,100,96,98,radio,0,0,1,1,88456,['knives'],3,['EI1'],survey-slider,knives,EI1
216,s54,66,92,29,91,radio,1,0,1,0,120204,['knives'],0,['AA1'],survey-slider,knives,AA1
217,s54,93,97,95,90,radio,1,1,1,0,48444,['crackers'],1,['EA1'],survey-slider,crackers,EA1
218,s54,96,50,90,96,radio,0,0,0,1,40505,['lightbulbs'],2,['EI1'],survey-slider,lightbulbs,EI1
219,s54,96,97,95,53,radio,1,0,1,1,37771,['strawberries'],3,['AI1'],survey-slider,strawberries,AI1
220,s55,97,98,93,94,radio,1,0,0,0,44499,['crackers'],0,['AA1'],survey-slider,crackers,AA1
221,s55,96,90,92,96,radio,0,0,0,0,36405,['strawberries'],1,['AI1'],survey-slider,strawberries,AI1
222,s55,99,96,96,97,radio,0,0,0,0,39236,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
223,s55,95,92,93,98,radio,0,0,1,1,30038,['knives'],3,['EI1'],survey-slider,knives,EI1
224,s56,88,89,56,41,radio,0,1,1,0,73871,['crackers'],0,['EA1'],survey-slider,crackers,EA1
225,s56,80,49,91,58,radio,0,0,1,1,40282,['strawberries'],1,['AI1'],survey-slider,strawberries,AI1
226,s56,94,88,75,74,radio,0,0,1,1,35575,['knives'],2,['EI1'],survey-slider,knives,EI1
227,s56,92,85,43,89,radio,1,0,1,0,33624,['lightbulbs'],3,['AA1'],survey-slider,lightbulbs,AA1
228,s57,96,99,96,98,radio,0,1,0,1,165187,['crackers'],0,['EI1'],survey-slider,crackers,EI1
229,s57,98,98,5,6,radio,1,0,1,1,92506,['knives'],1,['AI1'],survey-slider,knives,AI1
230,s57,100,98,100,98,radio,1,0,0,0,51210,['lightbulbs'],2,['AA1'],survey-slider,lightbulbs,AA1
231,s57,100,98,96,98,radio,0,0,0,1,75525,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
232,s58,100,100,100,97,radio,0,0,1,1,43516,['knives'],0,['EI1'],survey-slider,knives,EI1
233,s58,96,96,100,94,radio,0,0,1,1,32135,['crackers'],1,['AI1'],survey-slider,crackers,AI1
234,s58,100,99,100,97,radio,1,0,1,0,28289,['lightbulbs'],2,['AA1'],survey-slider,lightbulbs,AA1
235,s58,96,98,100,99,radio,0,1,0,1,40762,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
236,s59,97,99,43,89,radio,1,0,0,0,53989,['knives'],0,['AA1'],survey-slider,knives,AA1
237,s59,99,19,96,64,radio,0,0,1,0,71857,['strawberries'],1,['AI1'],survey-slider,strawberries,AI1
238,s59,99,82,72,96,radio,1,1,0,1,87985,['crackers'],2,['EI1'],survey-slider,crackers,EI1
239,s59,96,96,93,97,radio,0,1,0,1,31841,['lightbulbs'],3,['EA1'],survey-slider,lightbulbs,EA1
240,s60,98,98,95,95,radio,0,0,1,1,149692,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
241,s60,96,99,98,99,radio,0,0,1,1,119953,['knives'],1,['EI1'],survey-slider,knives,EI1
242,s60,97,98,99,97,radio,0,1,0,1,174105,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
243,s60,96,97,97,97,radio,1,0,1,0,128617,['crackers'],3,['AA1'],survey-slider,crackers,AA1
244,s61,100,100,100,52,radio,0,0,1,0,60044,['knives'],0,['EI1'],survey-slider,knives,EI1
