,subj,Q_A,Q_E,Q_I,Q_O,condition,radio_A,radio_E,radio_I,radio_O,rt,trial_domain,trial_index,trial_syll,trial_type,domain,syll
0,s0,84,44,42,39,radio,1,0,0,0,28164,['knives'],0,['EA1'],survey-slider,knives,EA1
1,s0,92,45,55,88,radio,1,0,0,0,18166,['lightbulbs'],1,['AA1'],survey-slider,lightbulbs,AA1
2,s0,59,4,89,55,radio,1,1,1,0,18327,['crackers'],2,['EI1'],survey-slider,crackers,EI1
3,s0,92,85,66,87,radio,0,0,0,0,28599,['strawberries'],3,['AI1'],survey-slider,strawberries,AI1
4,s1,98,71,75,78,radio,1,0,1,0,44403,['knives'],0,['AI1'],survey-slider,knives,AI1
5,s1,78,82,86,79,radio,1,1,0,1,38659,['strawberries'],1,['EA1'],survey-slider,strawberries,EA1
6,s1,73,56,65,67,radio,0,0,1,1,50824,['crackers'],2,['EI1'],survey-slider,crackers,EI1
7,s1,87,77,77,79,radio,1,0,1,0,39636,['lightbulbs'],3,['AA1'],survey-slider,lightbulbs,AA1
8,s2,86,74,85,89,radio,1,0,1,0,44373,['knives'],0,['AI1'],survey-slider,knives,AI1
9,s2,41,43,39,76,radio,0,0,0,1,51628,['crackers'],1,['EI1'],survey-slider,crackers,EI1
10,s2,51,60,26,16,radio,0,1,1,0,47809,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
11,s2,63,59,47,59,radio,1,0,0,0,26638,['strawberries'],3,['AA1'],survey-slider,strawberries,AA1
12,s3,93,94,91,98,radio,0,0,1,1,60440,['strawberries'],0,['AI1'],survey-slider,strawberries,AI1
13,s3,97,93,94,94,radio,1,0,0,0,33450,['lightbulbs'],1,['AA1'],survey-slider,lightbulbs,AA1
14,s3,94,6,6,6,radio,0,0,1,1,99562,['knives'],2,['EI1'],survey-slider,knives,EI1
15,s3,0,26,98,25,radio,0,1,0,0,131537,['crackers'],3,['EA1'],survey-slider,crackers,EA1
16,s4,97,100,100,82,radio,1,0,1,0,67838,['lightbulbs'],0,['EA1'],survey-slider,lightbulbs,EA1
17,s4,60,58,64,99,radio,0,1,0,1,54512,['strawberries'],1,['EI1'],survey-slider,strawberries,EI1
18,s4,38,94,97,53,radio,1,0,1,0,45876,['knives'],2,['AI1'],survey-slider,knives,AI1
19,s4,99,93,95,95,radio,1,0,1,0,40208,['crackers'],3,['AA1'],survey-slider,crackers,AA1
20,s5,100,100,100,100,radio,0,1,0,1,72720,['crackers'],0,['EA1'],survey-slider,crackers,EA1
21,s5,100,100,65,78,radio,1,0,0,0,54319,['knives'],1,['AA1'],survey-slider,knives,AA1
22,s5,100,100,100,100,radio,0,0,1,1,94938,['strawberries'],2,['AI1'],survey-slider,strawberries,AI1
23,s5,100,100,100,100,radio,0,0,1,1,68631,['lightbulbs'],3,['EI1'],survey-slider,lightbulbs,EI1
24,s6,51,96,97,81,radio,1,0,0,0,137158,['crackers'],0,['AA1'],survey-slider,crackers,AA1
25,s6,52,52,61,67,radio,1,1,1,1,212162,['strawberries'],1,['EI1'],survey-slider,strawberries,EI1
26,s6,53,55,50,55,radio,0,0,1,1,119531,['knives'],2,['AI1'],survey-slider,knives,AI1
27,s6,55,96,59,43,radio,0,1,0,0,153817,['lightbulbs'],3,['EA1'],survey-slider,lightbulbs,EA1
28,s7,62,68,39,69,radio,0,0,1,1,47190,['crackers'],0,['AI1'],survey-slider,crackers,AI1
29,s7,67,32,75,25,radio,1,0,1,0,29237,['knives'],1,['AA1'],survey-slider,knives,AA1
30,s7,91,70,85,59,radio,0,1,0,1,43390,['strawberries'],2,['EI1'],survey-slider,strawberries,EI1
31,s7,78,86,81,68,radio,0,1,0,1,21639,['lightbulbs'],3,['EA1'],survey-slider,lightbulbs,EA1
32,s8,100,78,73,92,radio,1,0,1,0,95237,['knives'],0,['AA1'],survey-slider,knives,AA1
33,s8,95,86,100,70,radio,0,0,1,1,45876,['crackers'],1,['AI1'],survey-slider,crackers,AI1
34,s8,94,83,69,70,radio,0,1,0,1,51106,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
35,s8,78,75,42,90,radio,0,1,0,1,75232,['strawberries'],3,['EI1'],survey-slider,strawberries,EI1
36,s9,61,63,57,20,radio,1,0,1,1,92181,['crackers'],0,['AI1'],survey-slider,crackers,AI1
37,s9,76,48,58,21,radio,1,0,1,0,34922,['strawberries'],1,['AA1'],survey-slider,strawberries,AA1
38,s9,29,14,26,32,radio,0,1,0,1,40745,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
39,s9,25,30,63,34,radio,0,1,0,1,40171,['knives'],3,['EI1'],survey-slider,knives,EI1
40,s10,41,85,30,73,radio,0,1,0,1,70774,['lightbulbs'],0,['EI1'],survey-slider,lightbulbs,EI1
41,s10,81,80,75,96,radio,0,0,1,1,36753,['crackers'],1,['AI1'],survey-slider,crackers,AI1
42,s10,91,96,95,93,radio,1,0,0,0,41779,['knives'],2,['AA1'],survey-slider,knives,AA1
43,s10,91,73,66,85,radio,0,1,0,1,32421,['strawberries'],3,['EA1'],survey-slider,strawberries,EA1
44,s11,96,100,100,97,radio,0,1,0,0,112250,['lightbulbs'],0,['EA1'],survey-slider,lightbulbs,EA1
45,s11,97,98,99,99,radio,1,0,0,0,84039,['strawberries'],1,['AA1'],survey-slider,strawberries,AA1
46,s11,99,98,100,100,radio,0,0,1,1,90602,['knives'],2,['AI1'],survey-slider,knives,AI1
47,s11,98,100,100,100,radio,0,0,1,1,54786,['crackers'],3,['EI1'],survey-slider,crackers,EI1
48,s12,99,100,99,98,radio,1,0,1,0,33413,['strawberries'],0,['AA1'],survey-slider,strawberries,AA1
49,s12,97,99,100,99,radio,0,0,0,1,42169,['crackers'],1,['EI1'],survey-slider,crackers,EI1
50,s12,93,99,98,97,radio,0,1,0,1,44560,['lightbulbs'],2,['EA1'],survey-slider,lightbulbs,EA1
51,s12,96,100,95,97,radio,0,0,1,0,24875,['knives'],3,['AI1'],survey-slider,knives,AI1
52,s13,100,96,98,96,radio,0,1,0,0,59762,['strawberries'],0,['EA1'],survey-slider,strawberries,EA1
53,s13,97,99,99,99,radio,0,0,1,1,52750,['crackers'],1,['AI1'],survey-slider,crackers,AI1
54,s13,96,95,93,95,radio,1,0,1,0,40317,['knives'],2,['AA1'],survey-slider,knives,AA1
55,s13,99,98,100,96,radio,0,0,1,1,37876,['lightbulbs'],3,['EI1'],survey-slider,lightbulbs,EI1
56,s14,94,99,96,54,radio,1,0,1,0,65473,['lightbulbs'],0,['AI1'],survey-slider,lightbulbs,AI1
57,s14,97,100,92,97,radio,0,1,0,0,56144,['knives'],1,['EA1'],survey-slider,knives,EA1
58,s14,96,94,95,97,radio,0,1,0,1,63221,['crackers'],2,['EI1'],survey-slider,crackers,EI1
