,domain,condition,111,110,101,011,100,010,001,000
0,lightbulb,tfbt,0.31182887423870137,0.11002079201827172,0.11597874700712056,0.03127162203786976,0.08594838486058268,0.03341642651104444,0.08556292044924313,0.22597223287716622
1,tomatoplant,tfbt,0.26605244761459107,0.1026669065451777,0.14717884189206867,0.08189884672007826,0.09093075849025042,0.09662856103018523,0.06514634951551264,0.1494972881921361
2,cracker,tfbt,0.0443147671699453,0.12594098180870633,0.0712353799532365,0.10950860518042894,0.1043957046291939,0.13172498960944687,0.2637658614329733,0.14911371021606876
3,strawberry,tfbt,0.02910673433798017,0.08753132148447618,0.03828510808023951,0.19598178269312033,0.19511387125242738,0.18011159366697382,0.1348417626223258,0.1390278258624568
4,painting,tfbt,0.09424402497585521,0.1429730431011967,0.15644269163084754,0.05906654008790341,0.07350311399397094,0.20265064836992422,0.11843551236340376,0.15268442547689817
5,knife,tfbt,0.11344469032349402,0.09921641485215668,0.28350750628137233,0.05216816074362232,0.08370648159036402,0.15461095219936977,0.08239499663186563,0.13095079737775514
